Date,Time,Open,High,Low,Close,TickVolume,Volume,Spread,datetime,Target_Close
2025.05.01,01:00:00,3289.25,3290.21,3271.43,3274.02,5132,0,7,2025-05-01 01:00:00,3272.69
2025.05.01,02:00:00,3274.28,3285.1,3269.83,3272.69,4855,0,7,2025-05-01 02:00:00,3246.51
2025.05.01,03:00:00,3273.13,3276.33,3241.21,3246.51,8490,0,7,2025-05-01 03:00:00,3238.92
2025.05.01,04:00:00,3246.51,3251.34,3234.38,3238.92,6694,0,7,2025-05-01 04:00:00,3241.58
2025.05.01,05:00:00,3238.95,3251.74,3235.17,3241.58,5156,0,7,2025-05-01 05:00:00,3229.51
2025.05.01,06:00:00,3241.51,3242.56,3228.94,3229.51,6438,0,7,2025-05-01 06:00:00,3226.63
2025.05.01,07:00:00,3229.57,3231.98,3221.32,3226.63,5705,0,7,2025-05-01 07:00:00,3236.64
2025.05.01,08:00:00,3226.63,3238.83,3223.44,3236.64,6486,0,7,2025-05-01 08:00:00,3235.75
2025.05.01,09:00:00,3236.67,3243.19,3233.87,3235.75,7645,0,5,2025-05-01 09:00:00,3230.12
2025.05.01,10:00:00,3235.78,3236.96,3226.09,3230.12,6947,0,5,2025-05-01 10:00:00,3235.24
2025.05.01,11:00:00,3230.14,3236.76,3229.97,3235.24,5135,0,5,2025-05-01 11:00:00,3218.51
2025.05.01,12:00:00,3235.24,3236.21,3215.28,3218.51,6597,0,5,2025-05-01 12:00:00,3223.02
2025.05.01,13:00:00,3218.48,3225.35,3213.57,3223.02,7233,0,5,2025-05-01 13:00:00,3205.58
2025.05.01,14:00:00,3222.96,3227.09,3203.5,3205.58,7645,0,5,2025-05-01 14:00:00,3226.9
2025.05.01,15:00:00,3205.54,3232.65,3202.04,3226.9,11857,0,5,2025-05-01 15:00:00,3225.0
2025.05.01,16:00:00,3226.83,3233.4,3218.9,3225.0,11448,0,5,2025-05-01 16:00:00,3219.17
2025.05.01,17:00:00,3225.07,3231.54,3214.39,3219.17,13145,0,5,2025-05-01 17:00:00,3216.46
2025.05.01,18:00:00,3219.17,3221.86,3205.02,3216.46,9627,0,5,2025-05-01 18:00:00,3219.64
2025.05.01,19:00:00,3216.46,3220.76,3209.03,3219.64,8025,0,7,2025-05-01 19:00:00,3214.69
2025.05.01,20:00:00,3219.64,3220.95,3209.86,3214.69,6494,0,7,2025-05-01 20:00:00,3223.91
2025.05.01,21:00:00,3214.58,3226.91,3212.95,3223.91,5641,0,7,2025-05-01 21:00:00,3228.22
2025.05.01,22:00:00,3223.91,3229.82,3223.91,3228.22,4845,0,7,2025-05-01 22:00:00,3237.89
2025.05.01,23:00:00,3228.26,3239.49,3228.1,3237.89,3800,0,7,2025-05-01 23:00:00,3237.97
2025.05.02,01:00:00,3238.74,3243.3,3232.66,3237.97,3256,0,7,2025-05-02 01:00:00,3237.35
2025.05.02,02:00:00,3238.0,3241.55,3234.78,3237.35,2815,0,7,2025-05-02 02:00:00,3231.41
2025.05.02,03:00:00,3237.54,3244.36,3227.46,3231.41,6518,0,7,2025-05-02 03:00:00,3236.42
2025.05.02,04:00:00,3231.31,3237.52,3231.31,3236.42,6399,0,7,2025-05-02 04:00:00,3248.16
2025.05.02,05:00:00,3236.5,3249.26,3235.9,3248.16,5838,0,7,2025-05-02 05:00:00,3254.98
2025.05.02,06:00:00,3248.16,3258.64,3245.9,3254.98,5614,0,7,2025-05-02 06:00:00,3251.88
2025.05.02,07:00:00,3254.99,3257.53,3250.57,3251.88,4394,0,7,2025-05-02 07:00:00,3251.81
2025.05.02,08:00:00,3251.88,3256.86,3249.65,3251.81,4485,0,7,2025-05-02 08:00:00,3252.89
2025.05.02,09:00:00,3251.82,3262.38,3246.31,3252.89,6964,0,5,2025-05-02 09:00:00,3258.97
2025.05.02,10:00:00,3252.88,3263.37,3251.56,3258.97,6411,0,5,2025-05-02 10:00:00,3258.18
2025.05.02,11:00:00,3258.97,3261.59,3255.38,3258.18,5610,0,5,2025-05-02 11:00:00,3265.32
2025.05.02,12:00:00,3258.18,3267.08,3255.19,3265.32,6375,0,5,2025-05-02 12:00:00,3259.52
2025.05.02,13:00:00,3265.3,3265.75,3257.37,3259.52,5959,0,5,2025-05-02 13:00:00,3262.74
2025.05.02,14:00:00,3259.52,3269.27,3258.19,3262.74,6263,0,5,2025-05-02 14:00:00,3250.45
2025.05.02,15:00:00,3262.76,3264.95,3250.31,3250.45,11835,0,5,2025-05-02 15:00:00,3250.49
2025.05.02,16:00:00,3250.37,3259.62,3239.51,3250.49,14801,0,5,2025-05-02 16:00:00,3262.9
2025.05.02,17:00:00,3250.44,3264.64,3242.23,3262.9,13200,0,5,2025-05-02 17:00:00,3231.6
2025.05.02,18:00:00,3262.9,3264.27,3230.27,3231.6,11493,0,5,2025-05-02 18:00:00,3224.98
2025.05.02,19:00:00,3231.64,3236.34,3222.51,3224.98,12184,0,5,2025-05-02 19:00:00,3231.42
2025.05.02,20:00:00,3224.97,3239.83,3223.53,3231.42,8856,0,7,2025-05-02 20:00:00,3226.41
2025.05.02,21:00:00,3231.52,3232.48,3224.38,3226.41,6276,0,7,2025-05-02 21:00:00,3233.56
2025.05.02,22:00:00,3226.41,3234.57,3226.4,3233.56,5215,0,7,2025-05-02 22:00:00,3240.3
2025.05.02,23:00:00,3233.74,3241.44,3232.62,3240.3,2619,0,7,2025-05-02 23:00:00,3239.5
2025.05.05,01:00:00,3239.46,3244.54,3237.44,3239.5,4042,0,7,2025-05-05 01:00:00,3248.02
2025.05.05,02:00:00,3239.75,3252.33,3238.96,3248.02,4718,0,7,2025-05-05 02:00:00,3246.75
2025.05.05,03:00:00,3248.11,3248.76,3241.1,3246.75,4540,0,7,2025-05-05 03:00:00,3264.73
2025.05.05,04:00:00,3246.75,3271.1,3246.57,3264.73,7997,0,7,2025-05-05 04:00:00,3270.2
2025.05.05,05:00:00,3264.73,3272.33,3259.74,3270.2,6887,0,7,2025-05-05 05:00:00,3254.57
2025.05.05,06:00:00,3270.01,3271.34,3253.09,3254.57,5879,0,7,2025-05-05 06:00:00,3256.59
2025.05.05,07:00:00,3254.57,3259.54,3253.68,3256.59,3939,0,7,2025-05-05 07:00:00,3259.7
2025.05.05,08:00:00,3256.55,3261.99,3254.12,3259.7,4847,0,7,2025-05-05 08:00:00,3262.08
2025.05.05,09:00:00,3259.86,3265.71,3256.81,3262.08,7109,0,5,2025-05-05 09:00:00,3264.81
2025.05.05,10:00:00,3262.12,3267.84,3258.82,3264.81,7027,0,5,2025-05-05 10:00:00,3282.7
2025.05.05,11:00:00,3264.8,3283.0,3263.2,3282.7,8423,0,5,2025-05-05 11:00:00,3308.81
2025.05.05,12:00:00,3282.75,3308.99,3282.34,3308.81,10658,0,5,2025-05-05 12:00:00,3313.3
2025.05.05,13:00:00,3308.81,3318.67,3308.58,3313.3,9992,0,5,2025-05-05 13:00:00,3313.01
2025.05.05,14:00:00,3313.29,3319.01,3311.43,3313.01,7676,0,5,2025-05-05 14:00:00,3319.67
2025.05.05,15:00:00,3312.94,3322.61,3312.91,3319.67,9859,0,5,2025-05-05 15:00:00,3315.63
2025.05.05,16:00:00,3319.68,3321.02,3311.99,3315.63,9227,0,5,2025-05-05 16:00:00,3312.73
2025.05.05,17:00:00,3315.62,3328.86,3309.91,3312.73,11806,0,5,2025-05-05 17:00:00,3312.14
2025.05.05,18:00:00,3312.74,3317.89,3309.14,3312.14,9177,0,5,2025-05-05 18:00:00,3309.83
2025.05.05,19:00:00,3312.08,3313.61,3305.66,3309.83,8683,0,5,2025-05-05 19:00:00,3317.15
2025.05.05,20:00:00,3309.82,3318.2,3309.22,3317.15,7143,0,7,2025-05-05 20:00:00,3323.22
2025.05.05,21:00:00,3317.15,3323.5,3313.97,3323.22,6212,0,7,2025-05-05 21:00:00,3328.84
2025.05.05,22:00:00,3323.22,3337.64,3322.86,3328.84,7805,0,7,2025-05-05 22:00:00,3333.96
2025.05.05,23:00:00,3328.81,3334.56,3328.81,3333.96,3524,0,7,2025-05-05 23:00:00,3330.74
2025.05.06,01:00:00,3336.26,3338.0,3327.55,3330.74,3256,0,7,2025-05-06 01:00:00,3334.11
2025.05.06,02:00:00,3330.77,3334.98,3328.97,3334.11,3219,0,7,2025-05-06 02:00:00,3329.67
2025.05.06,03:00:00,3334.11,3334.36,3323.49,3329.67,6463,0,7,2025-05-06 03:00:00,3379.65
2025.05.06,04:00:00,3329.67,3381.76,3329.67,3379.65,14209,0,7,2025-05-06 04:00:00,3358.42
2025.05.06,05:00:00,3379.65,3386.96,3356.54,3358.42,11243,0,7,2025-05-06 05:00:00,3360.35
2025.05.06,06:00:00,3358.43,3372.39,3352.58,3360.35,8605,0,7,2025-05-06 06:00:00,3363.12
2025.05.06,07:00:00,3360.35,3366.04,3356.14,3363.12,5965,0,7,2025-05-06 07:00:00,3362.07
2025.05.06,08:00:00,3363.13,3363.9,3350.28,3362.07,7283,0,7,2025-05-06 08:00:00,3364.77
2025.05.06,09:00:00,3362.07,3367.9,3358.76,3364.77,8769,0,5,2025-05-06 09:00:00,3371.24
2025.05.06,10:00:00,3364.77,3379.53,3364.77,3371.24,9020,0,5,2025-05-06 10:00:00,3377.2
2025.05.06,11:00:00,3371.24,3383.17,3368.61,3377.2,8207,0,5,2025-05-06 11:00:00,3383.23
2025.05.06,12:00:00,3377.19,3383.26,3371.44,3383.23,7520,0,5,2025-05-06 12:00:00,3383.7
2025.05.06,13:00:00,3383.22,3383.84,3376.75,3383.7,7090,0,5,2025-05-06 13:00:00,3379.15
2025.05.06,14:00:00,3383.71,3385.02,3373.87,3379.15,7882,0,5,2025-05-06 14:00:00,3391.1
2025.05.06,15:00:00,3379.2,3392.4,3373.2,3391.1,10485,0,5,2025-05-06 15:00:00,3391.78
2025.05.06,16:00:00,3391.1,3397.68,3387.85,3391.78,13513,0,5,2025-05-06 16:00:00,3386.39
2025.05.06,17:00:00,3391.78,3398.08,3378.25,3386.39,13118,0,5,2025-05-06 17:00:00,3395.18
2025.05.06,18:00:00,3386.37,3399.83,3385.38,3395.18,8900,0,5,2025-05-06 18:00:00,3408.92
2025.05.06,19:00:00,3395.18,3411.67,3394.78,3408.92,10437,0,5,2025-05-06 19:00:00,3414.05
2025.05.06,20:00:00,3408.93,3417.83,3407.57,3414.05,9424,0,7,2025-05-06 20:00:00,3415.65
2025.05.06,21:00:00,3414.05,3417.49,3410.29,3415.65,6853,0,7,2025-05-06 21:00:00,3423.16
2025.05.06,22:00:00,3415.66,3424.16,3412.65,3423.16,6285,0,7,2025-05-06 22:00:00,3430.46
2025.05.06,23:00:00,3423.08,3434.74,3419.32,3430.46,5750,0,7,2025-05-06 23:00:00,3381.92
2025.05.07,01:00:00,3438.27,3438.27,3380.78,3381.92,10699,0,7,2025-05-07 01:00:00,3400.8
2025.05.07,02:00:00,3382.0,3404.52,3377.17,3400.8,7479,0,7,2025-05-07 02:00:00,3379.76
2025.05.07,03:00:00,3400.84,3401.47,3361.0,3379.76,12426,0,7,2025-05-07 03:00:00,3374.76
2025.05.07,04:00:00,3379.48,3385.08,3360.26,3374.76,12068,0,7,2025-05-07 04:00:00,3390.61
2025.05.07,05:00:00,3374.74,3393.71,3372.04,3390.61,9102,0,7,2025-05-07 05:00:00,3375.58
2025.05.07,06:00:00,3390.61,3392.54,3370.1,3375.58,6348,0,7,2025-05-07 06:00:00,3382.12
2025.05.07,07:00:00,3375.58,3387.46,3375.26,3382.12,5213,0,7,2025-05-07 07:00:00,3387.9
2025.05.07,08:00:00,3382.12,3389.44,3378.63,3387.9,6199,0,7,2025-05-07 08:00:00,3392.51
2025.05.07,09:00:00,3387.98,3395.88,3387.45,3392.51,6974,0,5,2025-05-07 09:00:00,3387.91
2025.05.07,10:00:00,3392.49,3397.49,3383.79,3387.91,7115,0,5,2025-05-07 10:00:00,3382.81
2025.05.07,11:00:00,3387.92,3388.66,3378.29,3382.81,7098,0,5,2025-05-07 11:00:00,3370.08
2025.05.07,12:00:00,3382.82,3385.17,3369.82,3370.08,6803,0,5,2025-05-07 12:00:00,3391.44
2025.05.07,13:00:00,3370.02,3393.46,3369.3,3391.44,8140,0,5,2025-05-07 13:00:00,3387.1
2025.05.07,14:00:00,3391.43,3391.62,3383.74,3387.1,6427,0,5,2025-05-07 14:00:00,3390.9
2025.05.07,15:00:00,3386.87,3393.88,3384.1,3390.9,9308,0,5,2025-05-07 15:00:00,3394.37
2025.05.07,16:00:00,3390.91,3398.0,3381.6,3394.37,12564,0,5,2025-05-07 16:00:00,3385.91
2025.05.07,17:00:00,3394.36,3394.82,3375.4,3385.91,11939,0,5,2025-05-07 17:00:00,3385.23
2025.05.07,18:00:00,3385.91,3389.58,3381.99,3385.23,8734,0,5,2025-05-07 18:00:00,3386.91
2025.05.07,19:00:00,3385.22,3389.8,3378.86,3386.91,6540,0,7,2025-05-07 19:00:00,3385.01
2025.05.07,20:00:00,3386.92,3389.73,3383.81,3385.01,6109,0,7,2025-05-07 20:00:00,3384.62
2025.05.07,21:00:00,3384.98,3397.94,3376.06,3384.62,12303,0,7,2025-05-07 21:00:00,3372.01
2025.05.07,22:00:00,3384.64,3386.89,3363.83,3372.01,10956,0,7,2025-05-07 22:00:00,3364.44
2025.05.07,23:00:00,3372.01,3374.62,3363.66,3364.44,4230,0,7,2025-05-07 23:00:00,3370.04
2025.05.08,01:00:00,3366.2,3373.68,3364.89,3370.04,3441,0,7,2025-05-08 01:00:00,3376.51
2025.05.08,02:00:00,3370.12,3377.2,3369.7,3376.51,2717,0,7,2025-05-08 02:00:00,3380.42
2025.05.08,03:00:00,3376.51,3387.02,3373.88,3380.42,6141,0,7,2025-05-08 03:00:00,3408.67
2025.05.08,04:00:00,3380.48,3409.77,3379.12,3408.67,10682,0,7,2025-05-08 04:00:00,3402.11
2025.05.08,05:00:00,3408.74,3414.79,3402.11,3402.11,9047,0,7,2025-05-08 05:00:00,3396.95
2025.05.08,06:00:00,3402.08,3408.46,3395.58,3396.95,6816,0,7,2025-05-08 06:00:00,3382.09
2025.05.08,07:00:00,3396.88,3399.3,3382.03,3382.09,6245,0,7,2025-05-08 07:00:00,3355.23
2025.05.08,08:00:00,3382.09,3384.28,3354.74,3355.23,9951,0,7,2025-05-08 08:00:00,3329.96
2025.05.08,09:00:00,3355.21,3361.89,3320.35,3329.96,13717,0,5,2025-05-08 09:00:00,3342.98
2025.05.08,10:00:00,3329.96,3349.29,3327.31,3342.98,9738,0,5,2025-05-08 10:00:00,3339.37
2025.05.08,11:00:00,3343.27,3344.22,3337.29,3339.37,6820,0,5,2025-05-08 11:00:00,3331.99
2025.05.08,12:00:00,3339.33,3344.38,3331.33,3331.99,7748,0,5,2025-05-08 12:00:00,3342.46
2025.05.08,13:00:00,3331.99,3346.71,3330.41,3342.46,8077,0,5,2025-05-08 13:00:00,3344.46
2025.05.08,14:00:00,3342.48,3345.53,3339.25,3344.46,5943,0,5,2025-05-08 14:00:00,3356.17
2025.05.08,15:00:00,3344.42,3358.58,3343.11,3356.17,10333,0,5,2025-05-08 15:00:00,3356.09
2025.05.08,16:00:00,3356.17,3369.59,3354.74,3356.09,12090,0,5,2025-05-08 16:00:00,3356.51
2025.05.08,17:00:00,3356.06,3362.9,3350.9,3356.51,11875,0,5,2025-05-08 17:00:00,3330.78
2025.05.08,18:00:00,3356.53,3360.06,3326.63,3330.78,12738,0,5,2025-05-08 18:00:00,3310.41
2025.05.08,19:00:00,3330.42,3330.42,3304.43,3310.41,12167,0,5,2025-05-08 19:00:00,3308.35
2025.05.08,20:00:00,3310.4,3311.22,3297.86,3308.35,10208,0,7,2025-05-08 20:00:00,3308.46
2025.05.08,21:00:00,3308.33,3311.0,3305.71,3308.46,6601,0,7,2025-05-08 21:00:00,3306.41
2025.05.08,22:00:00,3308.52,3310.02,3288.75,3306.41,8085,0,7,2025-05-08 22:00:00,3305.85
2025.05.08,23:00:00,3306.42,3310.87,3303.76,3305.85,3804,0,7,2025-05-08 23:00:00,3323.8
2025.05.09,01:00:00,3304.71,3324.0,3304.54,3323.8,4947,0,7,2025-05-09 01:00:00,3316.39
2025.05.09,02:00:00,3323.74,3323.96,3312.28,3316.39,3882,0,7,2025-05-09 02:00:00,3322.15
2025.05.09,03:00:00,3316.52,3323.03,3308.83,3322.15,6767,0,7,2025-05-09 03:00:00,3291.36
2025.05.09,04:00:00,3322.2,3322.43,3286.87,3291.36,11583,0,7,2025-05-09 04:00:00,3308.42
2025.05.09,05:00:00,3291.36,3308.59,3274.79,3308.42,11490,0,7,2025-05-09 05:00:00,3308.19
2025.05.09,06:00:00,3308.42,3313.52,3299.73,3308.19,7847,0,7,2025-05-09 06:00:00,3324.64
2025.05.09,07:00:00,3308.25,3327.45,3308.22,3324.64,5799,0,7,2025-05-09 07:00:00,3321.54
2025.05.09,08:00:00,3324.64,3330.32,3312.95,3321.54,7775,0,7,2025-05-09 08:00:00,3325.5
2025.05.09,09:00:00,3321.56,3326.82,3315.42,3325.5,8632,0,5,2025-05-09 09:00:00,3327.24
2025.05.09,10:00:00,3325.5,3332.28,3322.5,3327.24,9072,0,5,2025-05-09 10:00:00,3328.57
